essayID,random_id,condition,chars_produced_inclu_spac,chars_produced_per_min_inclu_spac,chars_produced_exclu_spac,chars_produced_per_min_exclu_spac,total_words_produced,total_words_produced_per_min,mean_word_length,median_word_length,sd_word_length,total_sents_produced,mean_chars_per_sent,median_chars_per_sent,sd_chars_per_sent,mean_words_per_sent,median_words_per_sent,sd_words_per_sent,total_paras_produced,mean_chars_per_para,median_chars_per_para,sd_chars_per_para,mean_words_per_para,median_words_per_para,sd_words_per_para,mean_sents_per_para,median_sents_per_para,sd_sents_per_para,total_process_time_secs,num_of_Pbursts,mean_length_Pbursts_secs,median_length_Pbursts_secs,sd_length_Pbursts_secs,mean_length_Pbursts_chars,median_length_Pbursts_chars,sd_length_Pbursts_chars,total_process_time_in_secs_threshold200,total_pause_time_in_secs_threshold200,total_number_of_pauses_threshold200,mean_pause_time_in_secs_threshold200,median_pause_time_in_secs_threshold200,sd_pause_time_threshold200,num_of_pause_within_words_threshold200,mean_pause_time_within_words_threshold200,median_pause_time_within_words_threshold200,sd_pause_time_within_words_threshold200,num_of_pause_before_words_threshold200,mean_pause_time_before_words_threshold200,median_pause_time_before_words_threshold200,sd_pause_time_before_words_threshold200,num_of_pause_after_words_threshold200,mean_pause_time_after_words_threshold200,median_pause_time_after_words_threshold200,sd_pause_time_after_words_threshold200,num_of_pause_between_words_threshold200,mean_pause_time_between_words_threshold200,median_pause_time_between_words_threshold200,sd_pause_time_betweenr_words_threshold200,num_of_pause_before_sents_threshold200,mean_pause_time_before_sents_threshold200,median_pause_time_before_sents_threshold200,sd_pause_time_before_sents_threshold200,num_of_pause_after_sents_threshold200,mean_pause_time_after_sents_threshold200,median_pause_time_after_sents_threshold200,sd_pause_time_after_sents_threshold200,num_of_pause_between_sents_threshold200,mean_pause_time_between_sents_threshold200,median_pause_time_between_sents_threshold200,sd_pause_time_between_sents_threshold200,num_of_pause_before_paras_threshold200,mean_pause_time_before_paras_threshold200,median_pause_time_before_paras_threshold200,sd_pause_time_before_paras_threshold200,num_of_pause_after_paras_threshold200,mean_pause_time_after_paras_threshold200,median_pause_time_after_paras_threshold200,sd_pause_time_after_paras_threshold200,num_of_pause_between_paras_threshold200,mean_pause_time_between_paras_threshold200,median_pause_time_between_paras_threshold200,sd_pause_time_between_paras_threshold200,total_process_time_in_secs_threshold2000,total_pause_time_in_secs_threshold2000,total_number_of_pauses_threshold2000,mean_pause_time_in_secs_threshold2000,median_pause_time_in_secs_threshold2000,sd_pause_time_threshold2000,num_of_pause_within_words_threshold2000,mean_pause_time_within_words_threshold2000,median_pause_time_within_words_threshold2000,sd_pause_time_within_words_threshold2000,num_of_pause_before_words_threshold2000,mean_pause_time_before_words_threshold2000,median_pause_time_before_words_threshold2000,sd_pause_time_before_words_threshold2000,num_of_pause_after_words_threshold2000,mean_pause_time_after_words_threshold2000,median_pause_time_after_words_threshold2000,sd_pause_time_after_words_threshold2000,num_of_pause_between_words_threshold2000,mean_pause_time_between_words_threshold2000,median_pause_time_between_words_threshold2000,sd_pause_time_betweenr_words_threshold2000,num_of_pause_before_sents_threshold2000,mean_pause_time_before_sents_threshold2000,median_pause_time_before_sents_threshold2000,sd_pause_time_before_sents_threshold2000,num_of_pause_after_sents_threshold2000,mean_pause_time_after_sents_threshold2000,median_pause_time_after_sents_threshold2000,sd_pause_time_after_sents_threshold2000,num_of_pause_between_sents_threshold2000,mean_pause_time_between_sents_threshold2000,median_pause_time_between_sents_threshold2000,sd_pause_time_between_sents_threshold2000,num_of_pause_before_paras_threshold2000,mean_pause_time_before_paras_threshold2000,median_pause_time_before_paras_threshold2000,sd_pause_time_before_paras_threshold2000,num_of_pause_after_paras_threshold2000,mean_pause_time_after_paras_threshold2000,median_pause_time_after_paras_threshold2000,sd_pause_time_after_paras_threshold2000,num_of_pause_between_paras_threshold2000,mean_pause_time_between_paras_threshold2000,median_pause_time_between_paras_threshold2000,sd_pause_time_between_paras_threshold2000,total_strokes,average_strokes_per_min,sd_strokes_per_min_5_intervals,sd_strokes_per_min_10_intervals,num_of_revisions,num_of_deletions,total_deletions_chars_inclu_space,total_deletions_chars_exclu_space,total_deletions_words,mean_deletion_length_chars,median_deletion_length_chars,mean_deletion_length_chars_exclu_space,median_deletion_length_chars_exclu_space,num_of_insertions,total_insertions_chars_inclu_space,total_insertions_chars_exclu_space,total_insertions_words,mean_insertion_length_chars,median_insertion_length_chars,mean_insertion_length_chars_exclu_space,median_insertion_length_chars_exclu_space,num_of_Rburst,mean_length_Rburst_sec,median_length_Rburst_sec,sd_length_Rburst_sec,mean_length_Rburst_chars,median_length_Rburst_chars,sd_length_Rburst_chars,product_process_ratio
99,7.64078E+14,transcribed,2987,177.951,2455,146.257,528,31.456,4.527,4,2.572,20,149.35,112,38.584,26.4,23.5,9.002,4,746.75,622,150.286,132,130.5,34.475,5,5.5,1.225,1007.13,31,32.488,11.124,32.803,96.355,27,93.314,1007,783.175,1462,0.535,0.275,0.275,727,0.414,0.249,0.737,284,0.612,0.291,1.46,328,0.472,0.317,0.588,494,1.083,0.596,2.25,33,1.423,0.375,4.959,11,0.362,0.28,0.177,15,1.128,0.756,0.872,3,2.452,1.721,2.024,6,3.632,0.914,6.382,3,8.891,6.299,7.896,1007,219.68,31,7.086,4.455,4.455,12,4.941,3.861,2.938,10,6.287,4.01,4.96,3,4.687,2.47,3.213,347,7.921,2.806,6.604,2,16.472,16.472,NA,0,NA,NA,NA,10,9.285,6.614,7.122,1,5.215,5.215,NA,1,17.872,17.872,NA,2,13.585,13.585,NA,2456,151,27.52,32.63,33,33,55,46,17,1.667,1,1.394,1,0,0,0,0,0,0,0,0,40,21.975,13.727,21.755,59.575,47.5,51.355,0.975568942
100,1.96586E+12,transcribed,3751,141.626,3021,114.063,714,26.958,4.154,4,2.198,34,110.324,83.5,34.933,21,20.5,8.534,6,625.167,368.5,403.366,119,83,93.865,5.667,5,3.771,1589.116,69,23.03,13.008,7.301,54.362,30,58.412,1589,1371.426,2540,0.539,0.274,0.274,1365,0.376,0.252,2.652,556,0.839,0.623,0.922,412,0.335,0.269,0.271,635,0.99,0.755,0.812,28,1.09,0.734,1.107,29,0.771,0.376,0.845,26,1.638,1.322,0.837,12,1.238,0.95,1.592,6,0.89,0.593,0.697,4,1.719,1.589,0.393,1589,371.506,69,5.384,2.663,2.663,5,24.353,5.288,36.563,35,3.439,2.663,1.84,3,2.45,2.276,0.414,603,3.533,3.313,1.039,3,3.503,2.246,1.819,2,3.058,3.058,NA,26,3.794,3.715,0.866,1,6.413,6.413,NA,1,2.079,2.079,NA,4,3.85,3.934,0.995,3022,115,20.93,25.04,61,57,14,10,5,0.246,0,0.175,0,4,1,1,0,0.25,0,0.25,0,70,19.814,12.3145,21.289,42.314,25.5,44.246,0.973894513
101,7.8956E+14,transcribed,1712,154.56,1411,127.386,299,26.994,4.639,4,2.58,12,142.667,102.5,51.927,24.917,23,12.553,4,428,359.5,18.274,74.75,76.5,8.258,3,3,0.707,664.596,10,66.459,45.26,48.679,171.2,111.5,200.954,664,608.624,1430,0.425,0.279,0.279,834,0.322,0.264,0.214,279,0.443,0.312,1.207,236,0.579,0.275,2.507,283,0.987,0.591,2.623,20,1,0.308,2.561,9,0.839,0.879,0.23,9,1.356,1.264,0.288,3,1.014,0.735,0.496,4,0.828,0.813,0.232,3,1.945,1.903,0.421,664,95.544,11,8.685,3.09,3.09,1,3.09,3.09,NA,3,8.683,3.825,7.993,4,12.559,5.174,14.811,266,19.252,8.382,15.423,1,12.073,12.073,NA,0,NA,NA,NA,8,22.774,23.841,15.707,0,NA,NA,NA,0,NA,NA,NA,3,17.089,8.593,16.068,1412,130,25.13,25.21,21,21,28,26,8,1.333,1,1.238,1,0,0,0,0,0,0,0,0,25,24.16,19.211,19.465,55.44,43,46.995,0.980151781
102,3.22877E+14,transcribed,1930,87.578,1562,70.879,359,16.29,4.251,4,2.358,21,91.905,55,49.139,17.095,14,11.948,4,482.5,442,107.732,89.75,103,28.084,5.25,5,1.92,1322.247,93,14.217,5.775,13.475,20.753,11,22.219,1322,1164.24,951,1.224,0.332,0.332,446,0.43,0.251,0.832,287,2.639,0.936,9.398,90,0.525,0.292,0.474,323,2.82,1.338,8.888,22,1.304,0.273,4.272,17,0.764,0.651,0.463,17,1.035,0.856,0.463,0,NA,NA,NA,6,1.793,0.965,1.546,3,2.96,3.503,1.59,1322,715.294,93,7.691,3.293,3.293,6,4.825,2.495,5.053,71,8.315,3.293,17.699,2,2.144,2.144,NA,222,5.607,3.889,10.47,1,20.852,20.852,NA,0,NA,NA,NA,13,2.83,2.501,0.788,0,NA,NA,NA,2,3.907,3.907,NA,2,4.041,4.041,NA,1563,73,23.47,29.65,38,38,60,49,19,1.579,1,1.289,1,0,0,0,0,0,0,0,0,45,26.578,12.11,38.267,33.822,24,32.375,0.958052822
103,3.54595E+14,transcribed,2572,68.601,2121,56.572,442,11.789,4.701,4,2.596,14,183.714,124,105.019,31.571,26,20.828,4,643,528,70.945,110.5,109,12.835,3.5,3.5,1.118,2249.522,222,10.132,6.382,NA,11.586,8,11.211,2249,2232.166,2564,0.87,0.458,0.458,1568,0.622,0.424,0.95,427,2.047,1.577,1.71,453,0.482,0.344,0.79,419,2.502,1.964,1.84,23,0.834,0.35,1.553,11,1.277,0.773,1.008,10,1.713,1.534,0.993,5,1.663,1.256,0.697,5,1.019,0.695,0.671,3,3.259,2.986,0.598,2249,819.353,222,3.69,2.831,2.831,56,3.552,2.643,3.673,134,3.678,2.878,2.245,8,4.634,3.354,3.815,381,5.553,4.634,3.385,2,5.522,5.522,NA,3,2.626,2.11,0.803,10,4.521,3.191,3.579,2,2.505,2.505,NA,1,2.076,2.076,NA,3,4.625,4.679,1.317,2123,57,5.54,6,41,38,52,47,10,1.368,1,1.237,1,3,2,2,0,0.667,1,0.667,1,46,45.022,25.566,53.104,45.152,23.5,51.708,0.974747475
104,4.24087E+14,transcribed,1493,50.871,1200,40.887,262,8.927,4.485,4,2.553,18,82.944,60,31.143,14.556,12.5,7.47,5,298.6,347,166.499,52.4,74,35.814,3.6,4,2.417,1760.934,202,8.717,5.456,NA,7.391,5.5,7.207,1760,1728.433,1493,1.157,0.53,0.53,783,0.614,0.391,0.719,284,2.142,1.313,3.272,237,1.271,1.005,1.318,247,3.336,2.313,3.302,4,4.361,1.742,5.42,13,2.064,2.131,1.234,3,3.334,3.842,0.833,3,1.276,0.904,0.558,8,3.316,2.372,3.982,3,6.973,6.22,5.586,1760,871.476,202,4.314,2.83,2.83,38,3,2.54,1.533,62,5.955,3.081,5.434,41,3.567,3.03,1.467,244,5.242,4.19,3.513,1,13.689,13.689,NA,9,2.714,2.286,0.826,3,3.334,3.842,0.833,1,2.064,2.064,NA,5,5.03,2.953,4.187,3,7.656,6.22,4.831,1203,42,10.13,15.02,69,46,45,43,9,0.978,1,0.935,1,23,6,6,1,0.261,0,0.261,0,64,21.5,13.006,25.121,18.266,12.5,21.168,0.954575818
105,7.00024E+14,transcribed,2339,96.994,1949,80.822,379,15.716,5.055,4,3.008,15,155.933,117,67.531,25.267,23,12.772,4,584.75,354.5,308.196,94.75,68.5,57.76,3.75,3,1.92,1446.888,87,16.63,8.211,15.237,26.885,13,36.313,1446,1332.608,1800,0.74,0.386,0.386,1023,0.452,0.333,0.742,350,1.234,0.602,5.661,259,0.847,0.414,1.049,349,2.17,1.441,5.916,19,1.114,0.365,2.107,10,1.467,1.135,1.284,10,2.241,1.692,1.416,5,1.139,0.822,0.856,5,3.564,1.169,5.134,3,6.123,2.121,5.751,1446,461.687,87,5.306,2.759,2.759,14,4.79,2.959,4.148,32,6.701,2.736,17.775,23,3.277,2.567,1.895,322,4.97,3.234,6.676,3,4.671,2.213,3.566,2,3.543,3.543,NA,9,3.942,3.65,1.018,1,2.777,2.777,NA,1,13.804,13.804,NA,3,6.946,3.601,5.175,1952,82,14.99,22.56,81,73,115,106,30,1.575,1,1.452,1,8,14,11,4,1.75,1,1.375,1,80,14.913,10.4005,19.035,23.725,18,25.96,0.943637916
106,1.78234E+14,transcribed,1520,242.273,1251,199.397,259,41.282,4.737,4,2.674,8,190,143,56.754,32.375,29.5,11.196,3,506.667,403,29.473,86.333,85,4.989,2.667,2,0.943,376.435,20,18.821,8.246,4.026,80,33,87.862,376,225.229,261,0.862,0.345,0.345,91,0.438,0.298,0.455,95,1.118,0.301,2.954,23,1.439,0.386,3.535,241,1.497,0.617,2.796,4,0.757,0.437,0.699,2,0.987,0.987,NA,6,0.734,0.664,0.378,1,0.81,0.81,NA,1,0.263,0.263,NA,1,0.382,0.382,NA,376,119.112,19,6.269,3.321,3.321,2,2.751,2.751,NA,11,6.649,3.612,6.343,3,7.825,3.348,6.938,109,4.7,3.127,5.177,0,NA,NA,NA,0,NA,NA,NA,2,3.021,3.021,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1251,201,72.16,80.76,33,33,66,56,19,2,1,1.697,1,0,0,0,0,0,0,0,0,38,8.737,5.1355,10.852,32.184,25.5,29.361,0.944773176
107,3.41406E+14,transcribed,1928,369.599,1597,306.146,327,62.686,4.826,4,2.552,10,192.8,154.5,56.819,32.7,32,12.884,4,482,384,82.586,81.75,80,18.939,2.5,2.5,0.5,312.988,3,104.329,79.22,NA,964,621.5,NA,312,91.13,241,0.378,0.255,0.255,114,0.298,0.221,0.195,68,0.493,0.319,0.479,15,0.267,0.221,0.113,300,0.507,0.392,0.321,4,0.68,0.381,0.616,2,0.549,0.549,NA,4,0.509,0.363,0.267,2,0.411,0.411,NA,3,0.528,0.467,0.125,3,0.865,0.917,0.153,312,5.617,2,2.808,2.809,2.809,0,NA,NA,NA,1,3.475,3.475,NA,0,NA,NA,NA,1,3.475,3.475,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1598,308,18.27,25.27,29,29,43,36,18,1.483,1,1.241,1,0,0,0,0,0,0,0,0,36,8.139,5.7125,10.01,43.806,31,53.786,0.970969414
108,7.81679E+14,transcribed,2047,66.697,1558,50.764,358,11.665,4.232,4,2.334,18,113.722,81.5,26.544,19.889,20,7.098,3,682.333,217,467.836,119.333,52,107.469,6,3,4.967,1841.459,93,19.8,8.945,3.619,22.011,19,21.334,1841,1748.92,1608,1.087,0.29,0.29,849,0.355,0.268,0.341,367,1.425,0.754,2.168,225,0.367,0.26,0.402,323,1.806,1.095,2.297,24,19.009,0.449,82.779,15,1.068,1.156,0.601,16,3.17,1.606,4.917,2,0.968,0.968,NA,2,0.783,0.783,NA,1,2.31,2.31,NA,1841,1076.327,93,11.573,3.547,3.547,7,3.103,3.169,0.795,63,4.744,3.44,3.581,2,3.497,3.497,NA,176,4.376,3.654,2.734,3,147.833,19.037,189.345,2,2.062,2.062,NA,9,5.382,3.456,5.195,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1560,66,16.49,22.64,35,33,80,68,21,2.424,1,2.061,1,2,1,1,0,0.5,0.5,0.5,0.5,38,27.132,24.206,20.972,39.605,32,31.228,0.951195705
109,5.75617E+14,transcribed,2108,129.387,1722,105.694,376,23.078,4.5,4,2.502,9,234.222,212,97.188,41.778,47,20.831,6,351.333,297.5,98.831,62.667,66.5,20.385,1.5,1.5,0.5,977.536,31,31.533,24.964,NA,68,50,62.765,977,895.029,1695,0.528,0.307,0.307,979,0.348,0.275,0.254,356,0.949,0.798,0.848,241,0.368,0.267,0.283,353,1.288,1.124,0.882,5,3.094,0.531,5.096,8,1.087,0.986,0.488,1,1.267,1.267,NA,10,1.088,0.61,1.067,1,3.155,3.155,NA,0,NA,NA,NA,977,113.604,31,3.664,2.749,2.749,1,4.522,4.522,NA,24,3.2,2.47,1.696,0,NA,NA,NA,24,3.2,2.47,1.696,1,13.281,13.281,NA,0,NA,NA,NA,0,NA,NA,NA,1,3.763,3.763,NA,1,3.155,3.155,NA,0,NA,NA,NA,1724,108,2.76,10.03,63,63,76,68,22,1.206,1,1.079,1,0,0,0,0,0,0,0,0,71,11.958,9.876,11.002,23.789,17,21.001,0.95450237
110,9.787E+14,transcribed,3948,259.492,3244,213.22,694,45.615,4.548,4,2.749,24,164.5,119.5,55.27,28.917,28,11.094,4,987,807.5,420.424,173.5,169,92.565,6,6,2.915,912.86,12,76.071,73.376,NA,329,312.5,NA,912,521.514,1268,0.411,0.28,0.28,464,0.338,0.246,0.261,390,0.391,0.273,0.418,170,0.441,0.261,0.826,618,0.833,0.507,1.245,20,0.483,0.226,0.942,14,0.379,0.324,0.143,19,0.839,0.614,0.937,3,0.522,0.415,0.258,4,3.195,2.452,3.112,3,4.711,4.821,2.795,912,59.286,12,4.94,4.556,4.556,1,3.998,3.998,NA,4,3.651,3.352,1.05,2,7.663,7.663,NA,552,7.028,7.83,1.455,1,4.564,4.564,NA,0,NA,NA,NA,17,6.813,7.881,1.523,0,NA,NA,NA,2,6.105,6.105,NA,3,7.185,8.078,1.688,3248,215,17.26,21.83,135,135,15,14,6,0.111,0,0.104,0,0,0,0,0,0,0,0,0,142,5.535,3.828,5.64,22.19,15,21.748,0.937294564
111,9.83895E+14,transcribed,1885,245.766,1526,198.96,340,44.329,4.403,4,2.405,21,89.762,65,27.514,16.19,15,6.723,5,377,355,103.874,68,79,25.314,4.2,5,1.47,460.193,5,92.038,61.83,64.871,377,266,373.778,460,303.033,825,0.367,0.26,0.26,431,0.298,0.246,0.17,194,0.342,0.27,0.206,81,0.345,0.278,0.198,308,0.685,0.597,0.362,37,0.69,0.321,1.436,16,0.494,0.461,0.191,15,0.994,1.031,0.205,2,1.077,1.077,NA,7,1.031,0.591,1.118,4,2.104,1.658,1.45,460,24.133,5,4.826,3.817,3.817,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,32,3.987,3.974,0.119,2,6.189,6.189,NA,0,NA,NA,NA,1,4.06,4.06,NA,0,NA,NA,NA,1,3.739,3.739,NA,1,4.34,4.34,NA,1527,201,12.02,26.79,29,28,36,30,10,1.286,1,1.071,1,1,4,3,1,4,4,3,3,37,11.135,7.656,11.946,40.324,29,42.125,0.975079533
112,1.95686E+14,transcribed,1837,134.468,1511,110.605,310,22.692,4.781,4,2.592,19,96.684,62,46.777,16.316,13,10.27,5,367.4,296,38.724,62,60,8.462,3.8,3,1.47,819.673,38,21.57,6.347,34.42,48.342,1.5,95.47,819,698.899,1229,0.568,0.282,0.282,760,0.418,0.273,0.465,188,0.865,0.303,2.625,126,0.43,0.244,0.931,279,0.825,0.478,2.169,26,0.757,0.304,2.008,15,0.433,0.349,0.247,15,0.83,0.671,0.364,5,0.72,0.659,0.209,8,0.898,0.834,0.619,3,1.933,1.829,0.203,819,210.045,38,5.527,2.953,2.953,9,3.404,2.497,1.518,14,6.736,4.417,7.355,2,6.382,6.382,NA,229,2.923,2.723,2.322,1,10.755,10.755,NA,0,NA,NA,NA,13,2.834,2.839,0.359,0,NA,NA,NA,1,2.052,2.052,NA,3,3.087,3.195,0.281,1512,113,29.05,39.86,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,12.294,9.02,12.071,28.922,22,28.001,0.882129278
113,3.85606E+14,transcribed,1897,135.509,1596,114.007,294,21.001,5.282,4,3.188,14,135.5,121,47.211,21,18,7.69,6,316.167,296.5,94.491,49,50.5,14.799,2.333,2.5,0.745,839.946,30,27.998,19.3,NA,63.233,40,62.479,839,730.218,1322,0.552,0.28,0.28,780,0.359,0.256,0.31,238,0.794,0.476,1.814,193,0.516,0.264,0.822,271,1.09,0.856,1.086,16,0.821,0.269,2.097,8,1.515,1.349,0.628,7,1.768,1.44,0.68,5,0.91,0.4,0.87,10,1.454,1.104,1.159,5,1.78,1.448,1.162,839,184.034,30,6.134,3.354,3.354,5,2.628,2.281,0.573,10,6.289,3.412,6.635,4,4.984,4.248,2.676,237,5.778,5.098,2.855,1,8.938,8.938,NA,3,2.259,2.152,0.157,7,4.835,2.751,2.931,1,2.608,2.608,NA,1,4.706,4.706,NA,5,5.1,5.074,2.477,1599,116,15.01,19.82,39,39,61,55,15,1.564,1,1.41,1,0,0,0,0,0,0,0,0,50,13.8,7.519,16.92,30.9,18,36.298,0.961073119
114,2.90141E+14,transcribed,1728,118.397,1399,95.855,327,22.405,4.199,4,2.208,21,82.286,54,30.852,15.571,15,6.793,5,345.6,337,131.024,65.4,78,30.8,4.2,5,1.72,875.7,24,36.487,18.618,NA,72,38,62.974,875,845.942,1618,0.522,0.29,0.29,926,0.337,0.28,0.405,300,0.434,0.314,0.627,286,0.523,0.288,1.032,302,0.886,0.61,1.112,34,0.598,0.348,0.942,18,1.033,0.992,0.213,16,1.605,1.412,0.547,4,2.244,1.261,1.884,2,1.111,1.111,NA,3,3.642,2.321,2.312,875,263.218,25,10.528,4.729,4.729,4,4.76,2.898,3.657,5,4.808,4.729,1.264,5,6.93,9.84,3.696,188,8.222,10.219,3.282,2,3.902,3.902,NA,0,NA,NA,NA,12,7.328,10.261,3.665,1,5.487,5.487,NA,0,NA,NA,NA,1,8.116,8.116,NA,1401,97,14.75,30.1,19,19,27,25,7,1.421,1,1.316,1,0,0,0,0,0,0,0,0,24,27.458,14.869,26.889,57.125,38.5,55.526,0.981513576
115,3.59337E+13,transcribed,2413,148.926,2023,124.856,386,23.823,5.13,4,2.99,16,150.813,115.5,48.595,24.125,23,9.232,4,603.25,438.5,189.516,96.5,84,37.964,4,3,2.345,972.163,32,30.38,15.52,29.927,75.406,29,109.843,972,805.828,1413,0.57,0.279,0.279,724,0.393,0.254,0.786,310,0.604,0.295,2.048,248,0.932,0.28,5.613,361,1.393,0.588,5.599,12,1.631,0.524,2.646,13,0.394,0.319,0.2,11,1.608,0.705,2.315,1,7.204,7.204,NA,6,0.891,0.866,0.555,3,3.613,1.075,3.937,972,295.49,32,9.234,5.157,5.157,6,7.489,6.461,4.296,8,9.248,5.547,9.148,10,13.77,5.117,24.65,348,7.701,4.651,12.866,2,7.431,7.431,NA,0,NA,NA,NA,10,6.659,5.676,3.599,1,7.204,7.204,NA,0,NA,NA,NA,3,8.03,9.563,2.565,2024,126,32.8,41.34,45,42,84,73,20,2,1,1.738,1,3,3,1,2,1,1,0.333,0,48,17.396,10.2535,22.263,41.104,30.5,42.16,0.956503728
116,9.52373E+14,transcribed,1218,79.494,1003,65.462,216,14.097,4.546,4,2.47,12,101.5,82,36.031,18,18.5,7.927,3,406,297,68.941,72,61,16.269,4,3,1.414,919.313,68,13.519,8.116,NA,17.912,12,14.663,919,888.693,1103,0.805,0.463,0.463,649,0.547,0.34,0.534,208,1.078,0.811,1.682,186,1.085,0.918,0.907,204,2.205,1.857,1.931,12,2.26,1.109,4.105,5,2.551,2.488,0.937,5,3.995,4.374,0.977,2,6.042,6.042,NA,4,2.582,1.497,2.612,2,9.794,9.794,NA,919,234.923,68,3.454,2.491,2.491,21,2.627,2.494,0.735,15,3.896,2.431,5.313,21,2.898,2.488,1.087,200,4.201,3.701,2.084,1,15.765,15.765,NA,3,3.201,3.133,0.612,5,4.748,4.921,0.313,2,6.042,6.042,NA,2,4.65,4.65,NA,2,11.422,11.422,NA,1004,67,7.53,10.81,16,15,10,10,2,0.667,1,0.667,1,1,1,1,0,1,1,1,1,24,35.25,15.246,40.601,40.917,16,47.624,0.982829109
117,1.2905E+14,transcribed,1472,102.006,1192,82.603,260,18.017,4.462,4,2.221,9,163.556,94,123.382,28.889,21,26.884,3,490.667,391,136.02,86.667,85,30.641,3,3,1.633,865.828,78,11.1,7.88,NA,18.872,15,19.602,865,804.9,1290,0.623,0.296,0.296,659,0.354,0.289,0.244,238,1.046,0.438,1.279,234,0.43,0.235,0.889,238,1.274,0.617,1.324,11,1.576,0.64,1.587,5,1.39,0.269,2.122,5,1.571,0.515,2.148,3,0.74,0.452,0.499,5,0.544,0.426,0.376,2,1.727,1.727,NA,865,324.277,78,4.157,2.979,2.979,4,2.201,2.211,0.108,44,3.241,2.731,1.481,8,3.957,2.522,2.917,179,3.644,2.897,1.746,4,3.623,3.735,0.463,1,5.629,5.629,NA,5,3.038,2.351,1.415,0,NA,NA,NA,0,NA,NA,NA,1,3.084,3.084,NA,1192,83,27.92,30.66,89,69,54,49,13,0.783,0,0.71,0,20,29,23,6,1.45,1,1.15,1,62,9.581,7.027,9.948,18.242,13.5,17.865,0.917288136
118,4.09049E+14,transcribed,1940,72.025,1601,59.439,318,11.806,4.925,4,2.892,11,176.364,142,72.878,28.909,28,13.635,5,388,230,285.273,63.6,49,55.084,2.2,2,1.166,1616.113,155,10.426,5.313,2.523,12.516,8,13.073,1616,1518.454,1592,0.953,0.352,0.352,946,0.413,0.286,0.468,305,2.276,1.318,4.816,141,0.942,0.283,2.813,276,2.817,1.923,3.366,9,2.561,1.766,2.836,9,0.906,0.553,0.608,7,1.983,0.729,2.089,4,7.328,1.805,10.425,4,4.458,3.528,3.956,4,11.885,9.656,9.097,1616,791.144,155,5.104,2.979,2.979,17,3.231,3.006,1.005,95,5.254,2.791,7.809,11,6.941,3.585,7.822,269,7.38,5.672,6.057,3,5.934,6.105,2.472,1,2.085,2.085,NA,7,5.975,6.92,2.408,2,14.157,14.157,NA,2,7.945,7.945,NA,4,13.232,9.656,9.824,1603,60,13.57,15.15,107,91,110,104,26,1.209,1,1.143,1,16,26,25,5,1.625,1,1.562,1,97,12.557,8.265,12.854,15.876,12,14.146,0.933058702
119,4.85219E+14,transcribed,2231,332.368,1863,277.545,347,51.695,5.245,4,3.596,18,123.944,86,67.539,19.278,16.5,12.436,3,743.667,782,249.283,115.667,147,50.075,6,5,3.742,402.746,2,201.373,129.672,NA,1115.5,345,NA,402,179.067,388,0.461,0.321,0.321,121,0.351,0.279,0.198,104,0.587,0.368,0.487,39,0.578,0.368,0.442,299,0.765,0.536,0.562,14,0.45,0.324,0.452,5,0.365,0.273,0.214,14,0.629,0.448,0.349,0,NA,NA,NA,3,0.246,0.248,0.03,2,0.368,0.368,NA,402,5.025,2,2.512,2.513,2.513,0,NA,NA,NA,1,3.024,3.024,NA,0,NA,NA,NA,1,3.024,3.024,NA,1,2.001,2.001,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1864,280,14.15,20.65,98,98,251,231,83,2.561,2,2.357,2,0,0,0,0,0,0,0,0,103,3.184,2.12,3.678,17.65,11,18.058,0.874551971
120,1.86345E+14,transcribed,1757,154.531,1468,129.113,286,25.154,5,4,2.927,12,146.417,121,60.687,23.833,23,11.992,5,351.4,346,150.07,57.2,67,29.199,2.4,3,1.356,682.194,26,26.238,21.967,NA,67.577,62.5,56.18,682,574.255,1198,0.479,0.276,0.276,758,0.392,0.271,0.662,182,0.599,0.305,0.893,156,0.411,0.244,0.508,261,0.756,0.489,0.699,16,1.225,0.389,2.27,8,0.66,0.545,0.366,8,1.701,1.011,1.685,2,1.31,1.31,NA,6,1.181,1.076,0.693,3,2.46,2.608,0.461,682,105.849,26,4.071,2.753,2.753,6,6.055,4.774,4.008,11,3.23,2.392,2.058,1,5.492,5.492,NA,261,3.56,2.684,1.418,2,6.962,6.962,NA,0,NA,NA,NA,8,4.267,2.901,1.905,1,2.064,2.064,NA,1,2.424,2.424,NA,3,3.359,2.98,0.813,1472,132,16.58,23.84,38,38,69,63,15,1.816,1,1.658,1,0,0,0,0,0,0,0,0,45,12.089,8.283,13.43,31.778,22,36.084,0.952840909
